cost_base,cost_pips,entry_ts,ev_lcb,ev_pass,exit,expected_slip_pip,min_or_atr_ratio,or_atr_ratio,pnl_pips,rv_band,session,side,sl_pips,slip_est,slip_real,spread_band,stage,threshold_lcb,tp_pips,ts
0.5,0.5,2018-01-02 08:25:00,-0.4361417390343696,False,sl,0.0,0.6,4.5011820330966135,-2.917142857143517,high,LDN,SELL,2.4171428571429487,0.0,0.0,narrow,trade,0.5226295263273921,3.021428571428686,2018-01-02 08:25:00
0.5,0.5,2018-01-02 08:30:00,-0.4912467501098656,False,tp,0.0,0.6,3.933884297520464,1.4571428571424576,high,LDN,SELL,2.7657142857143366,0.0,1.5000000000000568,narrow,trade,0.49224434375680015,3.4571428571429204,2018-01-02 08:30:00
0.5,0.5,2018-01-02 08:35:00,-0.4366794440333388,False,tp,0.0,0.6,3.8003992015966492,1.5785714285707968,high,LDN,SELL,2.8628571428571705,0.0,1.5000000000000568,narrow,trade,0.4837763420568001,3.578571428571463,2018-01-02 08:35:00
0.5,0.5,2018-01-02 08:40:00,-0.3830963008950685,False,tp,0.0,0.6,3.7928286852588786,1.585714285713891,high,LDN,SELL,2.868571428571402,0.0,1.5000000000000568,narrow,trade,0.4832782243097459,3.5857142857142525,2018-01-02 08:40:00
0.5,0.5,2018-01-02 08:45:00,-0.32986359231701434,False,tp,0.0,0.6,3.777777777777621,1.6000000000000796,high,LDN,SELL,2.8800000000000283,0.0,1.5000000000000568,narrow,trade,0.4822819888156233,3.600000000000035,2018-01-02 08:45:00
0.5,0.5,2018-01-02 08:50:00,-0.29604764186717114,False,tp,0.0,0.6,4.112311015118588,1.3071428571431625,high,LDN,SELL,2.645714285714332,0.0,1.5000000000000568,narrow,trade,0.5027048164450384,3.3071428571429147,2018-01-02 08:50:00
0.5,0.5,2018-01-02 08:55:00,-0.2459477009405555,False,tp,0.0,0.6,4.059701492537113,1.350000000000307,high,LDN,SELL,2.6800000000000477,0.0,1.5000000000000568,narrow,trade,0.4997161099626847,3.350000000000059,2018-01-02 08:55:00
0.5,0.5,2018-01-02 09:00:00,-0.18839656026773843,False,tp,0.0,0.6,3.91769547325087,1.4714285714286461,high,LDN,SELL,2.7771428571428816,0.0,1.5000000000000568,narrow,trade,0.4912481082626846,3.4714285714286017,2018-01-02 09:00:00
0.5,0.5,2018-01-02 09:05:00,-0.12609811332565557,False,tp,0.0,0.6,3.7628458498022503,1.614285714286268,high,LDN,SELL,2.891428571428573,0.0,1.5000000000000568,narrow,trade,0.48128575332150775,3.6142857142857157,2018-01-02 09:05:00
0.5,0.5,2018-01-02 09:10:00,-0.07579685139664982,False,tp,0.0,0.6,3.7480314960629055,1.6285714285710355,high,LDN,SELL,2.9028571428571177,0.0,1.5000000000000568,narrow,trade,0.48028951782739204,3.628571428571397,2018-01-02 09:10:00
0.5,0.5,2018-01-02 09:15:00,-0.047328125020443146,False,tp,0.0,0.6,3.9096509240244446,1.4785714285717404,high,LDN,SELL,2.7828571428571944,0.0,1.5000000000000568,narrow,trade,0.49074999051562335,3.4785714285714926,2018-01-02 09:15:00
0.5,0.5,2018-01-02 09:20:00,-0.010290778842957149,False,tp,0.0,0.6,3.974947807933075,1.4214285714284074,high,LDN,SELL,2.7371428571428527,0.0,1.5000000000000568,narrow,trade,0.4947349324920997,3.4214285714285655,2018-01-02 09:20:00
0.5,0.5,2018-01-02 09:25:00,0.02116911943381994,False,tp,0.0,0.6,4.068376068375908,1.3428571428572127,high,LDN,SELL,2.674285714285735,0.0,1.5000000000000568,narrow,trade,0.5002142277097459,3.3428571428571683,2018-01-02 09:25:00
0.5,0.5,2018-01-02 09:30:00,0.04990381964522528,False,tp,0.0,0.6,4.166301969365223,1.264285714286018,high,LDN,SELL,2.6114285714286165,0.0,1.5000000000000568,narrow,trade,0.5056935229273922,3.26428571428577,2018-01-02 09:30:00
0.5,0.5,2018-01-02 09:35:00,0.04110740635276677,False,tp,0.0,0.6,4.544152744629806,0.9928571428569626,high,LDN,SELL,2.394285714285778,0.0,1.5000000000000568,narrow,trade,0.5246219973156304,2.9928571428572224,2018-01-02 09:35:00
0.5,0.5,2018-01-02 09:40:00,0.0016060697722779516,False,tp,0.0,0.6,5.230769230769003,0.599999999999568,high,LDN,SELL,2.0800000000000245,0.0,1.5000000000000568,narrow,trade,0.5520184734038757,2.6000000000000307,2018-01-02 09:40:00
0.5,0.5,2018-01-02 09:45:00,0.05892444119569917,False,tp,0.0,0.6,4.984293193717054,0.7285714285710014,high,LDN,SELL,2.1828571428571713,0.0,1.5000000000000568,narrow,trade,0.5430523539568144,2.728571428571464,2018-01-02 09:45:00
0.5,0.5,2018-01-02 09:50:00,0.07850034242604975,False,tp,0.0,0.6,5.090909090908801,0.6714285714290895,high,LDN,SELL,2.137142857142911,0.0,1.5000000000000568,narrow,trade,0.5470372959332837,2.6714285714286388,2018-01-02 09:50:00
0.5,0.5,2018-01-02 09:55:00,0.11412550609618077,False,tp,0.0,0.6,5.050397877983797,0.6928571428569512,high,LDN,SELL,2.154285714285769,0.0,1.5000000000000568,narrow,trade,0.5455429426921068,2.692857142857211,2018-01-02 09:55:00
