date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2018-01-01,9,8,1,0,0,0,0,0.0
2018-01-02,160,160,0,66,0,52,51,15.762857142855125
2018-01-03,122,122,0,122,0,2,2,1.0714285714291236
2018-01-04,122,122,0,122,0,2,2,-0.16571428571359093
2018-01-05,98,98,0,98,0,2,2,-0.18857142857007148
2018-01-07,24,24,0,24,0,0,0,0.0
2018-01-08,122,122,0,122,0,2,2,0.4685714285704421
2018-01-09,106,103,3,103,0,2,2,0.5485714285702556
2018-01-10,121,121,0,121,0,2,2,6.182857142856847
2018-01-11,122,122,0,122,0,2,2,2.8857142857139593
2018-01-12,98,98,0,98,0,2,0,-8.07142857142884
2018-01-14,24,24,0,24,0,0,0,0.0
2018-01-15,122,122,0,122,0,2,2,1.731428571428296
2018-01-16,121,121,0,121,0,2,2,3.3371428571433057
2018-01-17,121,121,0,121,0,2,1,-3.1657142857151257
2018-01-18,122,122,0,122,0,2,2,2.377142857142701
2018-01-19,98,98,0,98,0,2,2,2.5314285714292737
2018-01-21,24,24,0,24,0,0,0,0.0
2018-01-22,119,119,0,119,0,2,2,0.9657142857155918
2018-01-23,115,113,2,113,0,2,2,3.8685714285710446
2018-01-24,122,122,0,122,0,2,2,4.331428571429342
2018-01-25,122,122,0,122,0,2,2,8.20571428571435
2018-01-26,97,97,0,97,0,2,1,-3.1371428571427487
2018-01-28,24,24,0,24,0,0,0,0.0
2018-01-29,122,122,0,122,0,2,2,4.680000000000973
2018-01-30,98,98,0,98,0,2,2,3.9085714285723725
2018-01-31,114,114,0,114,0,2,1,-4.965714285713773
2018-02-01,122,122,0,122,0,2,2,2.8914285714284347
2018-02-02,98,98,0,98,0,2,2,2.937142857142817
2018-02-04,24,24,0,24,0,0,0,0.0
2018-02-05,122,122,0,122,0,2,2,4.782857142857267
2018-02-06,122,122,0,122,0,2,1,-3.4971428571419096
2018-02-07,120,120,0,120,0,2,2,5.040000000000134
2018-02-08,122,122,0,122,0,2,1,-4.1542857142866865
2018-02-09,98,98,0,98,0,2,1,-4.822857142856151
2018-02-11,24,24,0,24,0,0,0,0.0
2018-02-12,118,118,0,118,0,2,0,-9.737142857141578
2018-02-13,116,116,0,116,0,2,2,7.611428571428803
2018-02-14,122,122,0,122,0,2,2,3.4914285714284574
2018-02-15,122,122,0,122,0,2,2,7.33714285714251
2018-02-16,98,98,0,98,0,2,2,4.708571428570508
2018-02-18,24,24,0,24,0,0,0,0.0
2018-02-19,122,122,0,116,6,2,2,2.3257142857138433
2018-02-20,122,122,0,122,0,2,2,3.022857142857106
2018-02-21,110,110,0,110,0,2,2,3.325714285714355
2018-02-22,121,121,0,121,0,2,2,5.022857142856708
2018-02-23,98,98,0,98,0,2,2,3.1685714285705444
2018-02-25,22,22,0,22,0,0,0,0.0
2018-02-26,119,119,0,119,0,2,1,-2.439999999999486
2018-02-27,122,122,0,122,0,2,2,1.7199999999993452
2018-02-28,122,122,0,122,0,2,2,3.182857142856733
2018-03-01,122,122,0,122,0,2,2,2.8057142857141457
2018-03-02,98,98,0,98,0,2,2,7.240000000000691
2018-03-04,24,24,0,24,0,0,0,0.0
2018-03-05,122,122,0,122,0,2,0,-11.234285714285818
2018-03-06,122,122,0,122,0,2,1,-4.834285714285102
2018-03-07,122,122,0,122,0,2,2,3.3314285714274092
2018-03-08,122,122,0,122,0,2,0,-10.211428571428826
2018-03-09,98,98,0,98,0,2,2,1.3542857142842877
2018-03-11,24,24,0,24,0,0,0,0.0
2018-03-12,114,114,0,114,0,2,2,2.525714285713377
2018-03-13,117,117,0,117,0,2,2,7.291428571429549
2018-03-14,122,122,0,122,0,2,1,-5.2628571428565465
2018-03-15,122,122,0,122,0,2,2,2.7314285714288076
2018-03-16,55,55,0,55,0,2,2,4.731428571426989
2018-03-18,22,22,0,22,0,0,0,0.0
2018-03-19,119,119,0,119,0,2,2,2.8914285714298558
2018-03-20,122,122,0,118,4,2,2,4.885714285713561
2018-03-21,123,121,2,100,21,2,2,1.4457142857144731
2018-03-22,122,122,0,122,0,2,2,5.062857142858036
2018-03-23,98,98,0,98,0,2,2,6.097142857142558
2018-03-25,17,17,0,17,0,0,0,0.0
2018-03-26,120,120,0,120,0,2,1,-3.2714285714286575
2018-03-27,122,122,0,122,0,2,2,2.520000000000323
2018-03-28,121,121,0,121,0,2,2,5.805714285714259
2018-03-29,104,104,0,104,0,2,2,3.2457142857145413
2018-03-30,91,91,0,89,2,2,2,-1.5257142857146846
2018-04-01,24,24,0,24,0,0,0,0.0
2018-04-02,116,111,5,111,0,2,2,0.13142857142776165
2018-04-03,122,121,1,121,0,2,2,3.5371428571428396
2018-04-04,122,122,0,122,0,2,2,5.314285714285006
2018-04-05,122,122,0,122,0,2,2,3.200000000000159
2018-04-06,98,98,0,98,0,2,2,6.148571428571415
2018-04-08,24,24,0,24,0,0,0,0.0
2018-04-09,122,122,0,122,0,2,1,-2.942857142856269
2018-04-10,122,122,0,122,0,2,2,4.971428571429271
2018-04-11,121,121,0,121,0,2,2,2.520000000000323
2018-04-12,122,122,0,122,0,2,2,2.0685714285723975
2018-04-13,98,98,0,98,0,2,2,1.5542857142852426
2018-04-15,24,24,0,24,0,0,0,0.0
2018-04-16,111,111,0,111,0,2,2,2.8285714285720474
2018-04-17,107,107,0,107,0,2,2,0.8971428571418869
2018-04-18,121,121,0,121,0,2,2,0.6114285714294851
2018-04-19,101,101,0,101,0,2,1,-3.685714285713914
2018-04-20,95,95,0,95,0,2,2,1.0914285714283665
2018-04-22,24,24,0,24,0,0,0,0.0
2018-04-23,122,122,0,122,0,2,2,2.5314285714278526
2018-04-24,122,122,0,122,0,2,2,2.034285714285545
2018-04-25,122,122,0,122,0,2,2,2.405714285713657
2018-04-26,107,107,0,106,1,2,1,-0.5485714285692325
2018-04-27,94,94,0,94,0,2,1,-1.2742857142862931
2018-04-29,24,24,0,24,0,0,0,0.0
2018-04-30,114,114,0,112,2,2,2,0.8914285714274115
2018-05-01,122,122,0,122,0,2,2,0.4685714285718632
2018-05-02,122,122,0,122,0,2,2,2.1371428571432602
2018-05-03,121,121,0,121,0,2,2,3.068571428571488
2018-05-04,98,98,0,98,0,2,1,-0.45714285714331027
2018-05-06,14,14,0,13,1,0,0,0.0
2018-05-07,119,119,0,119,0,2,2,1.2628571428583655
2018-05-08,118,118,0,118,0,2,2,2.5599999999988086
2018-05-09,122,122,0,122,0,2,2,3.9828571428562896
2018-05-10,122,122,0,122,0,2,2,5.959999999999411
2018-05-11,98,98,0,98,0,2,2,2.0514285714289713
2018-05-13,24,24,0,24,0,0,0,0.0
2018-05-14,116,116,0,116,0,2,2,2.0971428571433535
2018-05-15,124,122,2,122,0,2,2,5.182857142856335
2018-05-16,120,120,0,120,0,2,2,3.2628571428565465
2018-05-17,114,114,0,114,0,2,2,3.257142857142071
2018-05-18,98,98,0,98,0,2,2,1.6628571428574332
2018-05-20,11,11,0,11,0,0,0,0.0
2018-05-21,122,122,0,122,0,2,2,0.982857142857597
2018-05-22,121,121,0,121,0,2,2,3.3885714285707422
2018-05-23,122,122,0,122,0,2,2,7.559999999999945
2018-05-24,122,122,0,122,0,2,2,4.811428571428223
2018-05-25,83,83,0,83,0,2,1,-5.257142857143492
2018-05-27,24,24,0,24,0,0,0,0.0
2018-05-28,112,112,0,112,0,2,2,2.3600000000006958
2018-05-29,122,122,0,122,0,2,2,6.480000000001041
2018-05-30,122,122,0,122,0,2,2,7.091428571428594
2018-05-31,74,74,0,74,0,2,2,5.925714285715401
2018-06-01,91,91,0,91,0,2,2,5.560000000000343
2018-06-03,23,23,0,23,0,0,0,0.0
2018-06-04,122,122,0,122,0,2,1,-3.739999999998588
2018-06-05,117,117,0,117,0,2,2,3.0342857142846356
2018-06-06,53,53,0,53,0,2,2,3.874285714286941
2018-06-07,102,102,0,102,0,2,2,1.7542857142847765
2018-06-08,98,98,0,98,0,2,2,4.50285714285792
2018-06-10,24,24,0,24,0,0,0,0.0
2018-06-11,116,116,0,116,0,2,2,1.3942857142856155
2018-06-12,119,119,0,119,0,2,2,2.640000000000043
2018-06-13,122,122,0,122,0,2,2,0.39428571428510395
2018-06-14,122,122,0,122,0,2,2,3.6685714285715108
2018-06-15,98,98,0,98,0,2,2,5.4628571428571036
2018-06-17,24,24,0,24,0,0,0,0.0
2018-06-18,122,122,0,122,0,2,1,-4.502857142856897
2018-06-19,122,122,0,122,0,2,2,6.274285714285611
2018-06-20,122,122,0,122,0,2,1,-2.857142857143401
2018-06-21,122,122,0,122,0,2,2,3.7771428571437013
2018-06-22,98,98,0,98,0,2,2,2.662857142857945
2018-06-24,24,24,0,24,0,0,0,0.0
2018-06-25,122,122,0,122,0,2,2,2.3542857142847993
2018-06-26,112,112,0,112,0,2,2,2.034285714285545
2018-06-27,122,122,0,122,0,2,2,5.0457142857131885
2018-06-28,122,122,0,122,0,2,1,-1.4514285714293464
2018-06-29,98,98,0,98,0,2,2,2.119999999999834
2018-07-01,21,21,0,21,0,0,0,0.0
2018-07-02,113,113,0,113,0,2,1,-4.237142857140896
2018-07-03,122,122,0,122,0,2,2,3.514285714284938
2018-07-04,122,122,0,122,0,2,2,-0.017142857142914636
2018-07-05,83,83,0,83,0,2,2,1.6571428571429578
2018-07-06,58,58,0,58,0,2,1,-2.4057142857126337
2018-07-08,24,24,0,24,0,0,0,0.0
2018-07-09,122,122,0,122,0,2,1,-4.917142857143574
2018-07-10,122,122,0,122,0,2,2,0.6342857142859657
2018-07-11,122,122,0,122,0,2,1,-3.7142857142848698
2018-07-12,122,122,0,122,0,2,2,2.99428571428615
2018-07-13,98,98,0,98,0,2,1,-3.4971428571419096
2018-07-15,24,24,0,24,0,0,0,0.0
2018-07-16,121,121,0,105,16,2,1,-2.2828571428556756
2018-07-17,97,97,0,97,0,2,1,-2.3114285714280527
2018-07-18,122,122,0,109,13,2,2,2.045714285714496
2018-07-19,122,122,0,122,0,2,2,3.0285714285715812
2018-07-20,98,98,0,98,0,2,2,5.5771428571423485
2018-07-22,24,24,0,24,0,0,0,0.0
2018-07-23,122,122,0,122,0,2,2,2.794285714286616
2018-07-24,122,122,0,122,0,2,2,3.411428571428644
2018-07-25,117,117,0,117,0,2,1,-3.911428571428587
