date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2018-01-01,9,8,1,0,0,0,0,0.0
2018-01-02,160,160,0,69,0,52,51,76.29714285714238
2018-01-03,122,122,0,122,0,2,1,-1.6285714285709787
2018-01-04,122,122,0,122,0,2,2,1.7514285714275388
2018-01-05,98,98,0,98,0,2,2,1.7171428571435285
2018-01-07,24,24,0,24,0,0,0,0.0
2018-01-08,122,122,0,122,0,2,2,2.7028571428578516
2018-01-09,106,103,3,103,0,2,2,2.822857142856151
2018-01-10,121,121,0,121,0,2,2,11.274285714285327
2018-01-11,122,122,0,122,0,2,2,6.328571428571706
2018-01-12,98,98,0,98,0,2,0,-8.07142857142884
2018-01-14,24,24,0,24,0,0,0,0.0
2018-01-15,122,122,0,122,0,2,2,4.597142857143922
2018-01-16,121,121,0,121,0,2,2,7.005714285714305
2018-01-17,121,121,0,121,0,2,1,-1.7228571428569808
2018-01-18,122,122,0,122,0,2,2,5.565714285713398
2018-01-19,98,98,0,98,0,2,2,5.797142857142546
2018-01-21,24,24,0,24,0,0,0,0.0
2018-01-22,119,119,0,119,0,2,2,3.448571428571313
2018-01-23,115,113,2,113,0,2,2,7.802857142858045
2018-01-24,122,122,0,122,0,2,2,8.497142857142649
2018-01-25,122,122,0,122,0,2,2,14.308571428570872
2018-01-26,97,97,0,97,0,2,1,0.008571428572224704
2018-01-28,24,24,0,24,0,0,0,0.0
2018-01-29,122,122,0,122,0,2,2,9.020000000001517
2018-01-30,98,98,0,98,0,2,2,7.8628571428571945
2018-01-31,114,114,0,114,0,2,1,-3.588571428572095
2018-02-01,122,122,0,122,0,2,2,6.337142857141998
2018-02-02,98,98,0,98,0,2,2,6.405714285714282
2018-02-04,24,24,0,24,0,0,0,0.0
2018-02-05,122,122,0,122,0,2,2,9.174285714285247
2018-02-06,122,122,0,122,0,2,1,0.2171428571434717
2018-02-07,120,120,0,120,0,2,2,9.559999999999548
2018-02-08,122,122,0,122,0,2,1,-2.062857142856899
2018-02-09,98,98,0,98,0,2,1,-2.6142857142853018
2018-02-11,24,24,0,24,0,0,0,0.0
2018-02-12,118,118,0,118,0,2,0,-9.737142857141578
2018-02-13,116,116,0,116,0,2,2,13.41714285714255
2018-02-14,122,122,0,122,0,2,2,7.2371428571434535
2018-02-15,122,122,0,122,0,2,2,13.005714285713111
2018-02-16,98,98,0,98,0,2,2,9.06285714285724
2018-02-18,24,24,0,24,0,0,0,0.0
2018-02-19,122,122,0,122,0,2,2,5.488571428570822
2018-02-20,122,122,0,122,0,2,2,6.534285714285716
2018-02-21,110,110,0,110,0,2,2,6.9885714285723
2018-02-22,121,121,0,121,0,2,2,9.534285714284408
2018-02-23,98,98,0,98,0,2,2,6.502857142856101
2018-02-25,22,22,0,22,0,0,0,0.0
2018-02-26,119,119,0,119,0,2,1,-0.7457142857143708
2018-02-27,122,122,0,122,0,2,2,4.580000000000496
2018-02-28,122,122,0,122,0,2,2,6.774285714285156
2018-03-01,122,122,0,122,0,2,1,-2.8628571428578766
2018-03-02,98,98,0,98,0,2,2,12.860000000001094
2018-03-04,24,24,0,24,0,0,0,0.0
2018-03-05,122,122,0,122,0,2,0,-11.234285714285818
2018-03-06,122,122,0,122,0,2,1,-2.7971428571414094
2018-03-07,122,122,0,122,0,2,2,6.997142857142592
2018-03-08,122,122,0,122,0,2,0,-10.211428571428826
2018-03-09,98,98,0,98,0,2,2,4.0314285714293305
2018-03-11,24,24,0,24,0,0,0,0.0
2018-03-12,114,114,0,114,0,2,2,5.788571428570833
2018-03-13,117,117,0,117,0,2,2,12.93714285714367
2018-03-14,122,122,0,122,0,2,1,-3.4114285714290418
2018-03-15,122,122,0,122,0,2,1,-1.4885714285720155
2018-03-16,55,55,0,55,0,2,2,9.097142857142671
2018-03-18,22,22,0,22,0,0,0,0.0
2018-03-19,119,119,0,119,0,2,2,6.337142857141998
2018-03-20,122,122,0,122,0,2,2,9.328571428570399
2018-03-21,123,121,2,121,0,2,2,4.168571428572477
2018-03-22,122,122,0,122,0,2,2,9.5942857142864
2018-03-23,98,98,0,98,0,2,2,11.145714285713893
2018-03-25,17,17,0,17,0,0,0,0.0
2018-03-26,120,120,0,120,0,2,1,-1.5342857142863977
2018-03-27,122,122,0,122,0,2,2,5.780000000000541
2018-03-28,121,121,0,121,0,2,2,10.708571428572156
2018-03-29,104,104,0,104,0,2,2,6.868571428571158
2018-03-30,89,89,0,89,0,2,2,-0.82000000000113
2018-04-01,24,24,0,24,0,0,0,0.0
2018-04-02,116,111,5,111,0,2,2,2.19714285714241
2018-04-03,122,121,1,121,0,2,2,7.305714285715737
2018-04-04,122,122,0,122,0,2,2,9.971428571428987
2018-04-05,122,122,0,122,0,2,2,6.7999999999988745
2018-04-06,98,98,0,98,0,2,1,2.937142857142817
2018-04-08,24,24,0,24,0,0,0,0.0
2018-04-09,122,122,0,122,0,2,1,-0.971428571427623
2018-04-10,122,122,0,122,0,2,2,9.457142857143253
2018-04-11,121,121,0,121,0,2,2,5.780000000000541
2018-04-12,122,122,0,122,0,2,2,5.102857142857943
2018-04-13,98,98,0,98,0,2,2,4.331428571429342
2018-04-15,24,24,0,24,0,0,0,0.0
2018-04-16,111,111,0,111,0,2,2,6.242857142857417
2018-04-17,107,107,0,107,0,2,1,-3.368571428570476
2018-04-18,121,121,0,121,0,2,2,2.917142857142153
2018-04-19,101,101,0,101,0,2,1,-2.1914285714283324
2018-04-20,95,95,0,95,0,2,2,3.637142857141896
2018-04-22,24,24,0,24,0,0,0,0.0
2018-04-23,122,122,0,122,0,2,2,5.797142857142546
2018-04-24,122,122,0,122,0,2,2,5.051428571429085
2018-04-25,122,122,0,122,0,2,2,5.608571428571963
2018-04-26,107,107,0,107,0,2,1,1.5828571428590408
2018-04-27,94,94,0,94,0,2,1,0.9599999999996953
2018-04-29,24,24,0,24,0,0,0,0.0
2018-04-30,114,114,0,114,0,2,2,3.3371428571418846
2018-05-01,122,122,0,122,0,2,2,2.7028571428578516
2018-05-02,122,122,0,122,0,2,2,5.205714285714237
2018-05-03,121,121,0,121,0,2,2,6.602857142857999
2018-05-04,98,98,0,98,0,2,1,2.754285714285288
2018-05-06,14,14,0,14,0,0,0,0.0
2018-05-07,119,119,0,119,0,2,2,3.894285714286184
2018-05-08,118,118,0,118,0,2,2,5.839999999999691
2018-05-09,122,122,0,122,0,2,2,7.974285714286623
2018-05-10,122,122,0,122,0,2,2,10.939999999999884
2018-05-11,98,98,0,98,0,2,2,5.077142857142803
2018-05-13,24,24,0,24,0,0,0,0.0
2018-05-14,116,116,0,116,0,2,2,5.145714285713666
2018-05-15,124,122,2,122,0,2,2,9.77428571428527
2018-05-16,120,120,0,120,0,2,2,6.894285714286298
2018-05-17,114,114,0,114,0,2,2,6.8857142857145845
2018-05-18,98,98,0,98,0,2,2,4.494285714286207
2018-05-20,11,11,0,11,0,0,0,0.0
2018-05-21,122,122,0,122,0,2,2,3.474285714285031
2018-05-22,121,121,0,121,0,2,2,7.082857142858302
2018-05-23,122,122,0,122,0,2,2,13.339999999999975
2018-05-24,122,122,0,122,0,2,2,9.217142857142392
2018-05-25,83,83,0,83,0,2,1,-3.1200000000007435
2018-05-27,24,24,0,24,0,0,0,0.0
2018-05-28,112,112,0,112,0,2,2,5.539999999999679
2018-05-29,122,122,0,122,0,2,2,11.719999999998777
2018-05-30,122,122,0,122,0,2,1,-1.4914285714292532
2018-05-31,74,74,0,74,0,2,2,10.888571428571026
2018-06-01,91,91,0,91,0,2,2,10.339999999999861
2018-06-03,23,23,0,23,0,0,0,0.0
