cost_pips,ev_lcb,exit,or_atr_ratio,pnl_pips,rv_band,side,sl_pips,spread_band,stage,tp_pips,ts
,,,,,,,,,no_breakout,,2018-01-01 22:00:00
,,,,,,,,,no_breakout,,2018-01-01 22:05:00
,,,,,,,,,no_breakout,,2018-01-01 22:10:00
,,,,,,,,,no_breakout,,2018-01-01 22:15:00
,,,,,,,,,no_breakout,,2018-01-01 22:20:00
,,,,,,,,,no_breakout,,2018-01-01 22:25:00
,,,,,,,,,no_breakout,,2018-01-01 22:30:00
,,,,,,,,,no_breakout,,2018-01-01 22:35:00
,,,,,,,,,no_breakout,,2018-01-01 22:40:00
,,,,,,,,,no_breakout,,2018-01-01 22:45:00
,,,,,,,,,no_breakout,,2018-01-01 22:50:00
,,,,,,,,,no_breakout,,2018-01-01 22:55:00
,,,,,,,,,no_breakout,,2018-01-01 23:00:00
,,,0.0,,high,BUY,,narrow,gate_block,,2018-01-01 23:05:00
,,,,,,,,,no_breakout,,2018-01-01 23:10:00
,,,,,,,,,no_breakout,,2018-01-01 23:15:00
0.5,,close,,0.40000000000048885,,BUY,2.965714285714398,,trade,4.448571428571597,2018-01-01 23:20:00
0.5,,tp,,2.8199999999998226,,BUY,2.8800000000001904,,trade,4.320000000000285,2018-01-01 23:25:00
0.5,,tp,,2.4342857142855223,,BUY,2.6228571428573235,,trade,3.9342857142859846,2018-01-01 23:30:00
0.5,,tp,,2.2457142857149393,,BUY,2.497142857143006,,trade,3.745714285714509,2018-01-01 23:35:00
0.5,,tp,,2.408571428571804,,BUY,2.6057142857143845,,trade,3.9085714285715767,2018-01-01 23:40:00
0.5,,tp,,2.331428571429228,,BUY,2.554285714285811,,trade,3.8314285714287166,2018-01-01 23:45:00
0.5,,tp,,2.2714285714286575,,BUY,2.514285714285864,,trade,3.7714285714287956,2018-01-01 23:50:00
0.5,,tp,,2.1942857142860817,,BUY,2.4628571428572905,,trade,3.6942857142859356,2018-01-01 23:55:00
0.5,,tp,,2.331428571429228,,BUY,2.554285714285811,,trade,3.8314285714287166,2018-01-02 00:00:00
0.5,,tp,,2.4685714285709537,,BUY,2.645714285714413,,trade,3.968571428571619,2018-01-02 00:05:00
0.5,,tp,,1.9714285714286461,,BUY,2.314285714285802,,trade,3.471428571428703,2018-01-02 00:10:00
0.5,,tp,,1.8342857142854996,,BUY,2.2228571428572,,trade,3.3342857142858,2018-01-02 00:15:00
0.5,,tp,,1.7657142857146368,,BUY,2.1771428571428584,,trade,3.2657142857142873,2018-01-02 00:20:00
0.5,,tp,,1.8514285714289258,,BUY,2.234285714285664,,trade,3.3514285714284955,2018-01-02 00:25:00
0.5,,tp,,1.7571428571429237,,BUY,2.1714285714285455,,trade,3.2571428571428185,2018-01-02 00:30:00
0.5,,tp,,1.431428571427773,,BUY,1.954285714285626,,trade,2.9314285714284387,2018-01-02 00:35:00
0.5,,tp,,1.4057142857140548,,BUY,1.9371428571427682,,trade,2.905714285714152,2018-01-02 00:40:00
0.5,,tp,,1.2342857142854768,,BUY,1.8228571428570768,,trade,2.734285714285615,2018-01-02 00:45:00
0.5,,tp,,1.0114285714280413,,BUY,1.6742857142856697,,trade,2.5114285714285045,2018-01-02 00:50:00
0.5,,tp,,1.2685714285709082,,BUY,1.8457142857142477,,trade,2.7685714285713714,2018-01-02 00:55:00
0.5,,tp,,1.3628571428569103,,BUY,1.9085714285713657,,trade,2.8628571428570484,2018-01-02 01:00:00
0.5,,tp,,1.7057142857140661,,BUY,2.13714285714283,,trade,3.205714285714245,2018-01-02 01:05:00
0.5,,tp,,1.9885714285720724,,BUY,2.325714285714347,,trade,3.48857142857152,2018-01-02 01:10:00
0.5,,close,,-1.5999999999991132,,BUY,2.400000000000091,,trade,3.6000000000001364,2018-01-02 01:15:00
0.5,,close,,-0.7999999999995566,,BUY,2.4457142857144327,,trade,3.668571428571649,2018-01-02 01:20:00
0.5,,close,,-1.5000000000000568,,BUY,2.44000000000012,,trade,3.660000000000179,2018-01-02 01:25:00
0.5,,close,,0.9000000000000341,,BUY,2.48571428571438,,trade,3.72857142857157,2018-01-02 01:30:00
0.5,,close,,0.7000000000005002,,BUY,2.4171428571430305,,trade,3.625714285714545,2018-01-02 01:35:00
0.5,,close,,0.7999999999995566,,BUY,2.342857142857286,,trade,3.5142857142859287,2018-01-02 01:40:00
0.5,,tp,,2.1000000000000796,,BUY,2.4000000000001727,,trade,3.600000000000258,2018-01-02 01:45:00
0.5,,close,,1.6000000000005343,,BUY,2.411428571428717,,trade,3.6171428571430755,2018-01-02 01:50:00
0.5,,tp,,2.2542857142852313,,BUY,2.502857142857319,,trade,3.754285714285978,2018-01-02 01:55:00
0.5,,tp,,2.2199999999998,,BUY,2.4800000000001483,,trade,3.7200000000002222,2018-01-02 02:00:00
0.5,,tp,,2.0742857142863613,,BUY,2.3828571428573144,,trade,3.574285714285972,2018-01-02 02:05:00
0.5,,tp,,1.9800000000003593,,BUY,2.3200000000001153,,trade,3.4800000000001723,2018-01-02 02:10:00
0.5,,tp,,1.6457142857149165,,BUY,2.097142857142964,,trade,3.1457142857144453,2018-01-02 02:15:00
0.5,,tp,,1.3628571428569103,,BUY,1.908571428571528,,trade,2.8628571428572918,2018-01-02 02:20:00
0.5,,tp,,1.24285714285719,,BUY,1.828571428571471,,trade,2.742857142857206,2018-01-02 02:25:00
